PROBLEM;BINARY;ITERATION;TIME;MEMORY;SENSORS_NUMBER
Frogger_;incremental_dlv2;1;0,001926;7044;97
Frogger_;incremental_dlv2;2;0,001008;7044;104
Frogger_;incremental_dlv2;3;0,001949;7224;104
Frogger_;incremental_dlv2;4;0,001136;7224;117
Frogger_;incremental_dlv2;5;0,002321;7496;117
Frogger_;incremental_dlv2;6;0,002367;7752;117
Frogger_;incremental_dlv2;7;0,002607;8156;120
Frogger_;incremental_dlv2;8;0,002567;8280;124
Frogger_;incremental_dlv2;9;0,001928;8284;133
Frogger_;incremental_dlv2;10;0,003963;8856;133
Frogger_;incremental_dlv2;11;0,002771;8860;133
Frogger_;incremental_dlv2;12;0,00441;9520;133
Frogger_;incremental_dlv2;13;0,004627;10264;137
Frogger_;incremental_dlv2;14;0,006211;11280;137
Frogger_;incremental_dlv2;15;0,004894;11356;143
Frogger_;incremental_dlv2;16;0,004451;11360;143
Frogger_;incremental_dlv2;17;0,004605;11364;143
Frogger_;incremental_dlv2;18;0,00462;11364;143
Frogger_;incremental_dlv2;19;0,004683;11364;143
Frogger_;incremental_dlv2;20;0,004471;11368;143
Frogger_;incremental_dlv2;21;0,005019;11368;143
Frogger_;incremental_dlv2;22;0,004786;11400;143
Frogger_;incremental_dlv2;23;0,005151;11452;143
Frogger_;incremental_dlv2;24;0,006806;12376;156
Frogger_;incremental_dlv2;25;0,006492;12384;156
Frogger_;incremental_dlv2;26;0,00615;12388;156
Frogger_;incremental_dlv2;27;0,0058;12388;156
Frogger_;incremental_dlv2;28;0,006131;12196;156
Frogger_;incremental_dlv2;29;0,005723;12200;156
Frogger_;incremental_dlv2;30;0,005999;12200;156
Frogger_;incremental_dlv2;31;0,005858;12200;156
Frogger_;incremental_dlv2;32;0,00588;12204;156
Frogger_;incremental_dlv2;33;0,006258;12208;156
Frogger_;incremental_dlv2;34;0,005993;12208;156
Frogger_;incremental_dlv2;35;0,005825;12208;156
Frogger_;incremental_dlv2;36;0,006258;12264;156
Frogger_;incremental_dlv2;37;0,006069;12280;156
Frogger_;incremental_dlv2;38;0,005807;12280;156
Frogger_;incremental_dlv2;39;0,006014;12284;156
Frogger_;incremental_dlv2;40;0,0057;12284;156
Frogger_;incremental_dlv2;41;0,005972;12288;156
Frogger_;incremental_dlv2;42;0,009375;14484;156
Frogger_;incremental_dlv2;43;0,008002;14296;156
Frogger_;incremental_dlv2;44;0,008834;14348;156
Frogger_;incremental_dlv2;45;0,008245;14544;156
Frogger_;incremental_dlv2;46;0,007736;14548;156
Frogger_;incremental_dlv2;47;0,008169;14552;156
Frogger_;incremental_dlv2;48;0,008233;14552;156
Frogger_;incremental_dlv2;49;0,007981;14552;156
Frogger_;incremental_dlv2;50;0,00791;14556;156
Frogger_;incremental_dlv2;51;0,008083;14556;156
Frogger_;incremental_dlv2;52;0,009035;14588;156
Frogger_;incremental_dlv2;53;0,011577;16200;156
Frogger_;incremental_dlv2;54;0,011261;16188;163
Frogger_;incremental_dlv2;55;0,013708;18524;163
Frogger_;incremental_dlv2;56;0,01261;18424;163
Frogger_;incremental_dlv2;57;0,018671;21700;169
Frogger_;incremental_dlv2;58;0,024619;26940;171
Frogger_;incremental_dlv2;59;0,021576;26940;173
Frogger_;incremental_dlv2;60;0,028977;30712;173
Frogger_;incremental_dlv2;61;0,029812;29912;168
Frogger_;incremental_dlv2;62;0,035044;34120;171
Frogger_;incremental_dlv2;63;0,03221;34920;175
Frogger_;incremental_dlv2;64;0,034087;34968;175
Frogger_;incremental_dlv2;65;0,034081;34992;178
Frogger_;incremental_dlv2;66;0,033828;35024;175
Frogger_;incremental_dlv2;67;0,031326;35040;171
Frogger_;incremental_dlv2;68;0,046924;40864;171
Frogger_;incremental_dlv2;69;0,060242;50196;172
Frogger_;incremental_dlv2;70;0,055771;51332;183
Frogger_;incremental_dlv2;71;0,054668;49392;183
Frogger_;incremental_dlv2;72;0,055579;51364;175
Frogger_;incremental_dlv2;73;0,057431;52160;175
Frogger_;incremental_dlv2;74;0,056638;52176;173
Frogger_;incremental_dlv2;75;0,054304;49764;175
Frogger_;incremental_dlv2;76;0,055119;49788;175
Frogger_;incremental_dlv2;77;0,053595;49808;178
Frogger_;incremental_dlv2;78;0,056206;49776;183
Frogger_;incremental_dlv2;79;0,057826;49784;179
Frogger_;incremental_dlv2;80;0,055982;49612;179
Frogger_;incremental_dlv2;81;0,056316;49620;174
Frogger_;incremental_dlv2;82;0,054998;49832;171
Frogger_;incremental_dlv2;83;0,058561;49836;175
Frogger_;incremental_dlv2;84;0,055773;49900;175
Frogger_;incremental_dlv2;85;0,053804;49844;175
Pacman_Planner1;incremental_dlv2;1;0,281008;44104;3492
Pacman_Planner1;incremental_dlv2;2;0,041308;44296;3492
Pacman_Planner1;incremental_dlv2;3;0,044089;44296;3492
Pacman_Planner1;incremental_dlv2;4;0,056261;46876;3492
Pacman_Planner1;incremental_dlv2;5;0,047194;47952;3492
Pacman_Planner1;incremental_dlv2;6;0,069532;50144;3492
Pacman_Planner1;incremental_dlv2;7;0,068289;50756;3492
Pacman_Planner1;incremental_dlv2;8;0,062025;51124;3492
Pacman_Planner1;incremental_dlv2;9;0,098772;57612;3492
Pacman_Planner1;incremental_dlv2;10;0,09628;63152;3492
Pacman_Planner1;incremental_dlv2;11;0,080532;63916;3492
Pacman_Planner1;incremental_dlv2;12;0,072669;64608;3492
Pacman_Planner1;incremental_dlv2;13;0,079835;66092;3492
Pacman_Planner1;incremental_dlv2;14;0,083081;67808;3492
Pacman_Planner1;incremental_dlv2;15;0,118771;70096;3492
Pacman_Planner1;incremental_dlv2;16;0,091423;71588;3492
Pacman_Planner1;incremental_dlv2;17;0,097223;72656;3492
Pacman_Planner1;incremental_dlv2;18;0,093292;74640;3492
Pacman_Planner1;incremental_dlv2;19;0,097931;75664;3492
Pacman_Planner1;incremental_dlv2;20;0,099401;76652;3492
Pacman_Planner1;incremental_dlv2;21;0,100413;77916;3492
Pacman_Planner1;incremental_dlv2;22;0,098698;79048;3492
Pacman_Planner1;incremental_dlv2;23;0,100102;80048;3492
Pacman_Planner1;incremental_dlv2;24;0,102805;81016;3492
Pacman_Planner1;incremental_dlv2;25;0,113157;83148;3492
Pacman_Planner1;incremental_dlv2;26;0,126528;84672;3492
Pacman_Planner1;incremental_dlv2;27;0,147448;86776;3492
Pacman_Planner1;incremental_dlv2;28;0,122298;88112;3492
