ENCODING;ITERATION;SENSORS_NUMBER
Frogger_Player;1;97
Frogger_Player;2;104
Frogger_Player;3;104
Frogger_Player;4;117
Frogger_Player;5;117
Frogger_Player;6;117
Frogger_Player;7;120
Frogger_Player;8;124
Frogger_Player;9;133
Frogger_Player;10;133
Frogger_Player;11;133
Frogger_Player;12;133
Frogger_Player;13;137
Frogger_Player;14;137
Frogger_Player;15;143
Frogger_Player;16;143
Frogger_Player;17;143
Frogger_Player;18;143
Frogger_Player;19;143
Frogger_Player;20;143
Frogger_Player;21;143
Frogger_Player;22;143
Frogger_Player;23;143
Frogger_Player;24;156
Frogger_Player;25;156
Frogger_Player;26;156
Frogger_Player;27;156
Frogger_Player;28;156
Frogger_Player;29;156
Frogger_Player;30;156
Frogger_Player;31;156
Frogger_Player;32;156
Frogger_Player;33;156
Frogger_Player;34;156
Frogger_Player;35;156
Frogger_Player;36;156
Frogger_Player;37;156
Frogger_Player;38;156
Frogger_Player;39;156
Frogger_Player;40;156
Frogger_Player;41;156
Frogger_Player;42;156
Frogger_Player;43;156
Frogger_Player;44;156
Frogger_Player;45;156
Frogger_Player;46;156
Frogger_Player;47;156
Frogger_Player;48;156
Frogger_Player;49;156
Frogger_Player;50;156
Frogger_Player;51;156
Frogger_Player;52;156
Frogger_Player;53;156
Frogger_Player;54;163
Frogger_Player;55;163
Frogger_Player;56;163
Frogger_Player;57;169
Frogger_Player;58;171
Frogger_Player;59;173
Frogger_Player;60;173
Frogger_Player;61;168
Frogger_Player;62;171
Frogger_Player;63;175
Frogger_Player;64;175
Frogger_Player;65;178
Frogger_Player;66;175
Frogger_Player;67;171
Frogger_Player;68;171
Frogger_Player;69;172
Frogger_Player;70;183
Frogger_Player;71;183
Frogger_Player;72;175
Frogger_Player;73;175
Frogger_Player;74;173
Frogger_Player;75;175
Frogger_Player;76;175
Frogger_Player;77;178
Frogger_Player;78;183
Frogger_Player;79;179
Frogger_Player;80;179
Frogger_Player;81;174
Frogger_Player;82;171
Frogger_Player;83;175
Frogger_Player;84;175
Frogger_Player;85;175
Frogger_Player;86;175
Pacman_Planner1;1;3492
Pacman_Planner1;2;3492
Pacman_Planner1;3;3492
Pacman_Planner1;4;3492
Pacman_Planner1;5;3492
Pacman_Planner1;6;3492
Pacman_Planner1;7;3492
Pacman_Planner1;8;3492
Pacman_Planner1;9;3492
Pacman_Planner1;10;3492
Pacman_Planner1;11;3492
Pacman_Planner1;12;3492
Pacman_Planner1;13;3492
Pacman_Planner1;14;3492
Pacman_Planner1;15;3492
Pacman_Planner1;16;3492
Pacman_Planner1;17;3492
Pacman_Planner1;18;3492
Pacman_Planner1;19;3492
Pacman_Planner1;20;3492
Pacman_Planner1;21;3492
Pacman_Planner1;22;3492
Pacman_Planner1;23;3492
Pacman_Planner1;24;3492
Pacman_Planner1;25;3492
Pacman_Planner1;26;3492
Pacman_Planner1;27;3492
Pacman_Planner1;28;3492
Pacman_Planner1;29;3492
Pacman_Planner1;30;3492
Pacman_Planner1;31;3492
Pacman_Planner1;32;3492
Pacman_Planner1;33;3492
Pacman_Planner1;34;3492
Pacman_Planner1;35;3492
Pacman_Planner1;36;3492
Pacman_Planner1;37;3492
Pacman_Planner1;38;3490
Pacman_Planner1;39;3490
Pacman_Planner1;40;3490
Pacman_Planner1;41;3490
Pacman_Planner1;42;3490
Pacman_Planner1;43;3490
Pacman_Planner1;44;3490
Pacman_Planner1;45;3490
Pacman_Planner1;46;3490
Pacman_Planner1;47;3490
Pacman_Planner1;48;3490
Pacman_Planner1;49;3490
Pacman_Planner2;1;4160
Pacman_Planner2;2;4160
Pacman_Planner2;3;4158
Pacman_Planner2;4;4152
Pacman_Planner2;5;4148
Pacman_Planner2;6;4140
Pacman_Planner2;7;4136
Pacman_Planner2;8;4128
Pacman_Planner2;9;4128
Pacman_Planner2;10;4128
Pacman_Planner2;11;4128
Pacman_Planner2;12;4128
Pacman_Planner2;13;4126
Pacman_Planner2;14;4114
Pacman_Planner2;15;4106
Pacman_Planner2;16;4094
Pacman_Planner2;17;4092
Pacman_Planner2;18;4092
Pacman_Planner2;19;4092
Pacman_Planner2;20;4092
Pacman_Planner2;21;4092
Pacman_Planner2;22;4090
Pacman_Planner2;23;4090
Pacman_Planner2;24;4090
Pacman_Planner2;25;4090
Pacman_Planner2;26;4090
Pacman_Planner2;27;4090
Pacman_Planner2;28;4090
Pacman_Planner2;29;4090
Pacman_Planner2;30;4088
Pacman_Planner2;31;4082
Pacman_Planner2;32;4080
Pacman_Planner2;33;4072
Pacman_Planner2;34;4064
Pacman_Planner2;35;4064
Pacman_Planner2;36;4064
Pacman_Planner2;37;4052
Pacman_Planner2;38;4046
Pacman_Planner2;39;4038
Pacman_Planner2;40;4030
Pacman_Planner2;41;4022
Pacman_Planner2;42;4004
Pacman_Planner2;43;3988
Pacman_Planner2;44;3980
Pacman_Planner2;45;3970
Pacman_Planner2;46;3960
Pacman_Planner2;47;3952
Pacman_Planner2;48;3950
Pacman_Planner2;49;3950
Pacman_Planner2;50;3940
Pacman_Planner2;51;3932
Pacman_Planner2;52;3932
Pacman_Planner2;53;3932
Pacman_Planner2;54;3932
Pacman_Planner2;55;3932
Pacman_Planner2;56;3932
Pacman_Planner3;1;4160
Pacman_Planner3;2;4160
Pacman_Planner3;3;4160
