PROBLEM;BINARY;ITERATION;TIME;MEMORY;SENSORS_NUMBER
Frogger_;incremental_dlv2;0;0,005467;6844;97
Frogger_;incremental_dlv2;1;0,001786;7044;104
Frogger_;incremental_dlv2;2;0,000907;7044;104
Frogger_;incremental_dlv2;3;0,001909;7224;117
Frogger_;incremental_dlv2;4;0,001028;7224;117
Frogger_;incremental_dlv2;5;0,002179;7496;117
Frogger_;incremental_dlv2;6;0,00234;7752;120
Frogger_;incremental_dlv2;7;0,002534;8156;124
Frogger_;incremental_dlv2;8;0,002635;8280;133
Frogger_;incremental_dlv2;9;0,001946;8284;133
Frogger_;incremental_dlv2;10;0,003539;8856;133
Frogger_;incremental_dlv2;11;0,002413;8860;133
Frogger_;incremental_dlv2;12;0,004202;9520;137
Frogger_;incremental_dlv2;13;0,004752;10264;137
Frogger_;incremental_dlv2;14;0,006317;11280;143
Frogger_;incremental_dlv2;15;0,004705;11356;143
Frogger_;incremental_dlv2;16;0,004709;11360;143
Frogger_;incremental_dlv2;17;0,004419;11364;143
Frogger_;incremental_dlv2;18;0,004684;11364;143
Frogger_;incremental_dlv2;19;0,00444;11364;143
Frogger_;incremental_dlv2;20;0,004436;11368;143
Frogger_;incremental_dlv2;21;0,004497;11368;143
Frogger_;incremental_dlv2;22;0,004758;11400;143
Frogger_;incremental_dlv2;23;0,004914;11452;156
Frogger_;incremental_dlv2;24;0,006761;12376;156
Frogger_;incremental_dlv2;25;0,005582;12384;156
Frogger_;incremental_dlv2;26;0,005886;12388;156
Frogger_;incremental_dlv2;27;0,005803;12388;156
Frogger_;incremental_dlv2;28;0,005569;12196;156
Frogger_;incremental_dlv2;29;0,005512;12200;156
Frogger_;incremental_dlv2;30;0,005654;12200;156
Frogger_;incremental_dlv2;31;0,00539;12200;156
Frogger_;incremental_dlv2;32;0,005826;12204;156
Frogger_;incremental_dlv2;33;0,005467;12208;156
Frogger_;incremental_dlv2;34;0,00583;12208;156
Frogger_;incremental_dlv2;35;0,005607;12208;156
Frogger_;incremental_dlv2;36;0,006376;12264;156
Frogger_;incremental_dlv2;37;0,00571;12280;156
Frogger_;incremental_dlv2;38;0,005922;12280;156
Frogger_;incremental_dlv2;39;0,00568;12284;156
Frogger_;incremental_dlv2;40;0,005704;12284;156
Frogger_;incremental_dlv2;41;0,005526;12288;156
Frogger_;incremental_dlv2;42;0,009243;14484;156
Frogger_;incremental_dlv2;43;0,00808;14296;156
Frogger_;incremental_dlv2;44;0,007937;14348;156
Frogger_;incremental_dlv2;45;0,007634;14544;156
Frogger_;incremental_dlv2;46;0,007909;14548;156
Frogger_;incremental_dlv2;47;0,007871;14552;156
Frogger_;incremental_dlv2;48;0,007826;14552;156
Frogger_;incremental_dlv2;49;0,008093;14552;156
Frogger_;incremental_dlv2;50;0,007877;14556;156
Frogger_;incremental_dlv2;51;0,007847;14556;156
Frogger_;incremental_dlv2;52;0,008472;14588;156
Frogger_;incremental_dlv2;53;0,010876;16200;163
Frogger_;incremental_dlv2;54;0,010272;16188;163
Frogger_;incremental_dlv2;55;0,013123;18524;163
Frogger_;incremental_dlv2;56;0,012394;18424;169
Frogger_;incremental_dlv2;57;0,019572;21700;171
Frogger_;incremental_dlv2;58;0,026052;26940;173
Frogger_;incremental_dlv2;59;0,020322;26940;173
Frogger_;incremental_dlv2;60;0,027958;30712;168
Frogger_;incremental_dlv2;61;0,025851;29912;171
Frogger_;incremental_dlv2;62;0,034899;34120;175
Frogger_;incremental_dlv2;63;0,030705;34920;175
Frogger_;incremental_dlv2;64;0,030366;34968;178
Frogger_;incremental_dlv2;65;0,02984;34992;175
Frogger_;incremental_dlv2;66;0,03073;35024;171
Frogger_;incremental_dlv2;67;0,0313;35040;171
Frogger_;incremental_dlv2;68;0,046218;40864;172
Frogger_;incremental_dlv2;69;0,05891;50196;183
Frogger_;incremental_dlv2;70;0,052279;51332;183
Frogger_;incremental_dlv2;71;0,051724;49392;175
Frogger_;incremental_dlv2;72;0,052198;51364;175
Frogger_;incremental_dlv2;73;0,053624;52160;173
Frogger_;incremental_dlv2;74;0,053293;52176;175
Frogger_;incremental_dlv2;75;0,052501;49764;175
Frogger_;incremental_dlv2;76;0,052421;49788;178
Frogger_;incremental_dlv2;77;0,05264;49808;183
Frogger_;incremental_dlv2;78;0,051207;49776;179
Frogger_;incremental_dlv2;79;0,052476;49784;179
Frogger_;incremental_dlv2;80;0,0563;49612;174
Frogger_;incremental_dlv2;81;0,053075;49620;171
Frogger_;incremental_dlv2;82;0,051638;49832;175
Frogger_;incremental_dlv2;83;0,052161;49836;175
Frogger_;incremental_dlv2;84;0,052528;49900;175
Frogger_;incremental_dlv2;85;0,051523;49844;175
Pacman_Planner1;incremental_dlv2;0;0,272011;44188;3492
Pacman_Planner1;incremental_dlv2;1;0,039196;44316;3492
Pacman_Planner1;incremental_dlv2;2;0,04066;44332;3492
Pacman_Planner1;incremental_dlv2;3;0,054162;45408;3492
Pacman_Planner1;incremental_dlv2;4;0,044765;45620;3492
Pacman_Planner1;incremental_dlv2;5;0,067372;50152;3492
